,text,sentiment,sentiment_label
0,sad story jalan gara gara responsi mbkm,-12,Negatif
1,kak teman magang freeport program magang merdeka mbkm magang freeportnya langsung,3,Positif
2,program mbkm konversi kkn asistensi ajar,1,Positif
3,anggar relatif konversi nilai eksklusifitas iisma eksploitasi tenaga kerja masalah cermin kemendikbudristek garap program mbkm sematangmagangnya output harap maksimal,18,Positif
4,polemik mbkm halo udayana amp indonesia salam eskalasi merdeka ajar kampus merdeka mbkm program kemendikbudristek mati mahasiswa,9,Positif
5,usaha langsung nder kalo prodiku alhamdulilah aju mandiri diitung mbkm,1,Positif
6,bro mbkm kena goda kaum lenceng,-1,Negatif
7,mbkm ut daftar link langsung web mbkm kah,4,Positif
8,kemarin cari info mbkm muehehe daftar sem magang sem coba upbjj nya kak kalo login,-3,Negatif
9,hobi tara mbkm,2,Positif
10,mitra mbkm potensial pindad,2,Positif
11,moga lolos mbkm sem asli kaya bikin takutt,1,Positif
12,bingung banget wa upbjj daerah isi peluang mbkm login tunggu regist smt sih daftar smt,5,Positif
13,toko keramik lihat atas pajang tulis serenity tenang kalo elegy puisilagu duka tau matkul mbkm sasing,4,Positif
14,didik bahasa jawa nder anak fbs deh kali ambil mbkm prodi a mulu btw mbkm ambil nya samsek sambung prodiku ya,-11,Negatif
15,tau sih mbkm konversi ca sks matkul kayak tau,-11,Negatif
16,paham mbkm dosen paham akwowkwow,0,Netral
17,pengin banget ajar matkul muncul semester sih nabrak mbkm,-1,Negatif
18,shit kuesioner mbkm anjeeng,-5,Negatif
19,um mbkm nilai nya kah sender kelas nilainyaudah follow up dosen nilai,7,Positif
20,lanjut mahasiswa program merdeka ajar kampus merdeka mbkm tahap ii rangka cepat susun sistem jaring informasi geospasial data indonesia sdi kabupaten purwakarta,4,Positif
21,hari tidur bangun menang benci bimbing lapang ku benci dospem mbkm benci bu n benci mikologi salah kasih project kalo bilang mental lemah iya lemah,37,Positif
22,wkwkwk adekku tidur dengar zoom mbkm ampuh bikin ngantuk anjay,3,Positif
23,dosen banget sosialisasi tbtb daftar mbkm fakk,2,Positif
24,kak awal daftar myut regist billing bmp bayar expired alas teruus registrasi semester ganjil kirakira mbkm ya case ku cuti,15,Positif
25,pusing banget urus mbkm,-3,Negatif
26,magang kalo mbkm,0,Netral
27,tara mbkm stupor bim pilih semester semester genap matkul healty lifestyle,-3,Negatif
28,oot sih tau process daftar mbkm msib process juni tutup daftar usaha langsung process undur juli akun process,0,Netral
29,titip ness rekognisi kkn lapor mbkm proses ya matkul rekognisi nilai matkul kkn aju tulis ya,23,Positif
30,jujur deg degan parah cz nilai mbkm gue turun bawah harap berat ipk gue hikzz,8,Positif
31,data mahasiswa kipk semester ganjil halo sobat kipk sobat kipk aju cuti undur ikut mbkm semester ganjil harap isi formulir ya agustus,20,Positif
32,barangakali cari kos putri sharing kos kamar dua dm ya lokasi babatan harga kurleb kbln dapur include air wifi listrik cctv parkir sebentar mbkm memasuiki era daring,6,Positif
33,tahap ngelindur nyetarain mbkm,0,Netral
34,tlong terima tara mbkm kuh,4,Positif
35,mbkm nilai iya hasil conversi,8,Positif
36,aloo ocaa dikit lagiji aktif kali mbkm kelarr btw i miss you too soo much,-6,Negatif
37,mbkm kampus merdeka kayak jatohnya magang relevan semster,-4,Negatif
38,kkn konversi kah nya kampus gue kalo mbkm konversi kkn,0,Netral
39,anjir ya sems inihh full mbkm habis kkn benrr kasi napas,5,Positif
40,cerita teman baik lolos progam magang mbkm benar ajar besar hati dari keren,7,Positif
41,mbkm positif kokk kakak kelas disupoort mbkm bimbing dosen langsung,7,Positif
42,sangka mbkm nilai under teman gue ngibul sih,8,Positif
43,dasar tentu ut rpl mbkm kak,-3,Negatif
44,update baru doi mbkm lucu amaatt sama,3,Positif
45,pddikti doang sih butuh lihat kating ngambil program mbkm langsung malam sungkan,-3,Negatif
46,ppko kapai sih cari mbkm convert kkn malas,-7,Negatif
47,lapor mbkm,2,Positif
48,komunikasi dpa nder amp lihat dosenya kayak syukur kalo ubah jalur konversi ambil opsi konversi program mbkm pkm amp pmw,-2,Negatif
49,riset tim laksana mbkm mahasiswa program kampus merdeka cepat kerja lulus kuliah publisherstory pandanganjogja,7,Positif
50,minimal selesai sih bang jurnal mbkm,-1,Negatif
51,diam lu anjing jaman mbkm mulu urus kerja lo,-1,Negatif
52,rating i did at hilang file lapor mbkm deadlinenya besok backupnya,5,Positif
53,info giat semester mbkm uny,-3,Negatif
54,eh benar daftar beasiswa ks tm ya dftr mbkm,7,Positif
55,pliss lulus mbkm,5,Positif
56,kayak e program kampus merdeka push banget iisma ygy mbkm mah anak tiri padal kampus belah ub mahasiswa e push banget makane mahasiswa mbkm ub,-11,Negatif
57,sesal mbkm wkwkwkwkkw pas angkat mbkm batch sus konversi sks,7,Positif
58,fasilitas kamar mandi dapur include air wifi listrik cctv parkir dm ya tau detail foto tanyatanya sebentar mbkm memasuiki era daring alangkah indah bayar kos sharing sekyan,16,Positif
59,fyi omega frost raih kategori produk inovasi baik program merdeka ajar kampus merdeka mbkm unggul lho keren sobatbahari kkpbeyond sdmkp sdmunggul menujuoii pendidikankp,13,Positif
60,konversi bangun wilayah lapor ku pakai persis kayak lapor konversi kkn coba pic prodi nderbag mbkm rektorat,3,Positif
61,ngulang matkul pas ambil mbkm,-2,Negatif
62,tau deh ya buka ig energi kuras orang sidang wisuda kkn posting pmm amp mbkm pkm ya gamasalah kayak sanggup lihat ngulang kuliah ya,18,Positif
63,kalo dpa ku nyebut matkul matkul sapu jagat penggantipengisi matkul konversi mbkm mekanisme matkul paham sih dijelasin lebar,-3,Negatif
64,percaya hitler tinggal garut benar terima daftar mbkm malang,3,Positif
65,tara mbkm ya,6,Positif
66,pray for good grade this semester tau feeling gua buruk gegara mbkm coy,-10,Negatif
67,kkn reg mbkm nder,0,Netral
68,mbkm pas polimer tuh bawa laperr mulu heran jajan gue banget astaghfirullah enak chicken katsu jus masjid nasi padang dibeliin ton review ling,17,Positif
69,benar nder kkntmbkm,2,Positif
70,tim mbkm seram seram banget komen nya,-11,Negatif
71,ntuh program mbkm anak coolyeah magank korporat biasax,-3,Negatif
72,pilih salah program mbkm kkn mah rumah cowok aurat ribet dalem rumah pakai hijab gerahh huhu,-8,Negatif
73,ya bro tutup rangkai mbkm pengin turu,-2,Negatif
74,bajing lo kelas sosiologi sastra kontol banget dih mbkm sok keras cokk,-4,Negatif
75,iri teman kampus nyicil kuliah biar mbkm nya fokus santai,3,Positif
76,izin lempar diskusi iisma bebas ukt program mbkm eg msib,-8,Negatif
77,frustasi banget faak mbkm smester,-2,Negatif
78,acc tara mbkm ya tolong tanggap,12,Positif
79,cepat banget kaya daftar mbkm,7,Positif
80,hapus aja mbkm credential kalo sistem blunder banget pas nilai dar der dorr gws deh ipk nya turun semester ambis fufufu,6,Positif
81,mbkm kampus mbkm kemendikbud nama pmm,0,Netral
82,masuk mbkm kampus kayak mbkm kemendikbud nama pmm,-6,Negatif
83,smt mbkm,0,Netral
84,el smt misah sesuai minat mbkm,4,Positif
85,terima kasih mbkm pamit undur semester,6,Positif
86,sobat sosek akses informasi mbkm brin link daftar mbkm brin tutup tanggal juli sobat sosek sempat ya himaseta sosek,11,Positif
87,mbkm brin semester gasal himaseta sosek halo sobat sosek badan riset inovasi nasional brin buka daftar mahasiswa minat magang lembaga loh,11,Positif
88,plot twist ibm mbkm credential,0,Netral
89,mbkm sih,0,Netral
90,kayak bayang susah pas gua ngerjain lapor mbkm sestress,-4,Negatif
91,punya doang nilai itu matkul mbkm,7,Positif
92,guys tau ya ngurangin ukt kalo berat beasiswa kstm daftar mbkm kstm tau reply ya plss,4,Positif
93,knpsih lapor mbkm dpa hdehh moga bapak balas n asih ttdnya,7,Positif
94,eh daftar mbkm,1,Positif
95,isi verifikasi logbook stupor mahasiswa aktivitas nonkompetisi kalo organisasikepanitiaan convert stupor mahasiswa tara mbkm,4,Positif
96,eh ice institute mbkm ya kalo tau kak sorry ya,0,Netral
97,tara mbkm nya nilai,7,Positif
98,dosen prodi sistem informasi akuntansi sukses fasilitator sekolah gerak fsp hai sobat bsi dosen program studi sistem informasi akuntansi lydia salvina helling skom mmsi hasil lolos fasilitator sekolah gerak fsp mbkm,15,Positif
99,kak maaf program mbkm ice institute sistem ajar tuton akses terima kasih,5,Positif
100,tim hibah mbkm dinas dagang kota surakarta revitalisasi online pasar camat jebres surakarta giat kenal pasar pasar khalayak yuk baca informasi lengkap,14,Positif
101,kalo jurus input coba chat mbkm kemarin chat urus,8,Positif
102,dancokk mbkm,0,Netral
103,tukeran mbkm iya kkn iya dua kampus gas,-3,Negatif
104,tuhan bantu anak moga lolos seleksi wawancara mbkm amin barusan selesai wawancara emak moga emak lolos amin,11,Positif
105,dpl mbkm gue urus nilai deadlinenya bentar operator prodi dibales,2,Positif
106,tangis nela mbkm,-5,Negatif
107,alam mbkm brin,2,Positif
108,tau jink gue nilai kkn jalur konversi mbkm ah sesal banget taikk gadapet alam,1,Positif
